,Name,runs,balls,fours,sixes,sr
211,Prithvi Raj,0.0,1.0,0.0,0.0,0.0
212,KC Cariappa,9.0,3.0,0.0,1.0,300.0
213,Dhruv Shorey,13.0,17.0,0.0,1.0,76.47058823529412
214,Heinrich Klaasen,66.0,57.0,5.0,1.0,115.78947368421052
215,Barinder Sran,6.0,10.0,0.0,0.0,60.0
216,Martin Guptill,81.0,53.0,4.0,7.0,152.83018867924528
217,Ish Sodhi,7.0,17.0,0.0,0.0,41.1764705882353
218,Basil Thampi,4.0,7.0,0.0,0.0,57.142857142857146
219,Mark Wood,1.0,3.0,0.0,0.0,33.333333333333336
220,Gautam Gambhir,85.0,88.0,8.0,1.0,96.5909090909091
221,Daniel Christian,26.0,33.0,0.0,1.0,78.78787878787878
222,Brendon McCullum,127.0,88.0,16.0,6.0,144.3181818181818
223,Vinay Kumar,6.0,3.0,1.0,0.0,200.0
224,D'Arcy Short,115.0,99.0,11.0,5.0,116.16161616161617
225,Ben Laughlin,1.0,4.0,0.0,0.0,25.0
226,Pradeep Sangwan,0.0,4.0,0.0,0.0,0.0
227,Billy Stanlake,5.0,2.0,1.0,0.0,250.0
228,Akila Dananjaya,4.0,5.0,0.0,0.0,80.0
229,Mitchell Johnson,16.0,11.0,2.0,0.0,145.45454545454547
230,Corey Anderson,17.0,22.0,0.0,1.0,77.27272727272727
231,Liam Plunkett,1.0,3.0,0.0,0.0,33.333333333333336
232,Manoj Tiwary,47.0,44.0,4.0,1.0,106.81818181818181
233,Alex Hales,148.0,118.0,13.0,6.0,125.42372881355932
234,Jean-Paul Duminy,36.0,40.0,3.0,1.0,90.0
235,Karn Sharma,0.0,0.0,0.0,0.0,0.0
236,Naman Ojha,1.0,4.0,0.0,0.0,25.0
237,Prashant Chopra,8.0,6.0,2.0,0.0,133.33333333333334
238,Javon Searles,8.0,6.0,0.0,1.0,133.33333333333334
239,Anureet Singh,3.0,4.0,0.0,0.0,75.0
