"PLAYER","TEAM","INNINGS","NOT OUT","RUNS","HS","AVERAGE","BALL FACED","STRIKE RATE","100'S","50'S","4'S","6'S"
"Alex Ross","Sydney Thunder","6","1","108","44*","21.6","88","122.72727272727","0","0","8","4"
"Matthew Wade","Hobart Hurricanes","3","0","105","86","35","56","187.5","0","1","12","4"
"Rilee Rossouw","Melbourne Renegades","7","1","105","59","17.5","77","136.36363636364","0","1","13","1"
"Ryan Gibson","Adelaide Strikers","9","4","100","43*","20","72","138.88888888889","0","0","10","3"
"Jhye Richardson","Perth Scorchers","11","6","96","20*","19.2","69","139.13043478261","0","0","9","3"
"James Bazley","Brisbane Heat","7","3","94","49*","23.5","65","144.61538461538","0","0","7","5"
"Oliver Davies","Sydney Thunder","6","0","90","48","15","58","155.1724137931","0","0","2","8"
"Jack Prestwidge","Melbourne Renegades","6","0","86","33","14.333333333333","76","113.15789473684","0","0","5","6"
"Will Jacks","Hobart Hurricanes","8","0","79","34","9.875","69","114.49275362319","0","0","3","5"
"Jack Wildermuth","Brisbane Heat","9","0","75","31","8.3333333333333","51","147.05882352941","0","0","1","6"
"Daniel Worrall","Adelaide Strikers","5","2","72","62*","24","52","138.46153846154","0","1","7","3"
"Nathan McAndrew","Sydney Thunder","7","5","72","20*","36","35","205.71428571429","0","0","7","4"
"Travis Head","Adelaide Strikers","4","0","70","31","17.5","62","112.90322580645","0","0","4","1"
"Ben Dunk","Melbourne Stars","5","0","69","24","13.8","63","109.52380952381","0","0","2","4"
"Jason Holder","Sydney Sixers","3","2","62","33*","62","34","182.35294117647","0","0","7","4"
"Rashid Khan","Adelaide Strikers","7","2","61","29","12.2","45","135.55555555556","0","0","4","3"
"Tom Cooper","Brisbane Heat","5","0","61","26","12.2","66","92.424242424242","0","0","4","2"
"Nathan Ellis","Hobart Hurricanes","10","3","61","14","8.7142857142857","46","132.60869565217","0","0","3","3"
"Imad wasim","Melbourne Renegades","8","3","56","13","11.2","51","109.80392156863","0","0","4","0"
"Carlos Brathwaite","Sydney Sixers","11","3","55","21","6.875","51","107.8431372549","0","0","5","2"
"Seb Gotch","Melbourne Stars","6","2","51","18","12.75","54","94.444444444444","0","0","5","1"
"Danny Briggs","Adelaide Strikers","7","3","45","35*","11.25","37","121.62162162162","0","0","6","2"
"James Faulkner","Hobart Hurricanes","4","2","44","26","22","34","129.41176470588","0","0","3","1"
"Joe Clarke","Perth Scorchers","3","0","44","34","14.666666666667","24","183.33333333333","0","0","2","4"
